CardId,CustomerId,HasCrCard,Card_Type,Point_Earned
181,15716334,1,GOLD,739
182,15789669,1,SILVER,280
183,15621075,1,DIAMOND,250
184,15810845,1,PLATINUM,991
185,15719377,1,GOLD,482
186,15654506,1,PLATINUM,423
187,15771977,1,GOLD,260
188,15708710,0,SILVER,642
189,15726676,0,PLATINUM,701
190,15587421,1,GOLD,570
191,15726931,0,GOLD,790
192,15771086,1,PLATINUM,727
193,15756850,0,SILVER,909
194,15702741,1,GOLD,799
195,15679200,1,DIAMOND,520
196,15594815,1,SILVER,861
197,15635905,1,GOLD,512
198,15777892,1,PLATINUM,478
199,15656176,1,PLATINUM,374
200,15811127,1,PLATINUM,280
201,15604482,1,DIAMOND,615
202,15622911,0,GOLD,435
203,15600974,0,GOLD,509
204,15727868,1,DIAMOND,321
205,15627801,1,PLATINUM,726
206,15773039,1,GOLD,516
207,15755262,0,PLATINUM,639
208,15679531,1,SILVER,512
209,15684181,1,GOLD,730
210,15612087,0,DIAMOND,244
211,15752047,1,PLATINUM,292
212,15624592,1,GOLD,245
213,15573152,0,DIAMOND,848
214,15594917,1,SILVER,974
215,15785542,0,DIAMOND,958
216,15723488,0,GOLD,629
217,15680920,1,DIAMOND,310
218,15786308,0,SILVER,621
219,15659366,1,DIAMOND,924
220,15774854,1,PLATINUM,359
221,15725311,1,SILVER,811
222,15787155,0,DIAMOND,583
223,15727829,1,SILVER,959
224,15733247,1,SILVER,359
225,15568748,1,PLATINUM,901
226,15699029,1,GOLD,729
227,15774393,1,DIAMOND,829
228,15676895,1,SILVER,790
229,15637753,1,DIAMOND,756
230,15605461,1,GOLD,873
231,15808473,0,SILVER,865
232,15627000,1,GOLD,690
233,15787174,0,PLATINUM,722
234,15723886,0,DIAMOND,535
235,15704769,0,SILVER,580
236,15772896,1,GOLD,709
237,15711540,1,GOLD,930
238,15764866,1,DIAMOND,264
239,15794056,1,DIAMOND,943
240,15795149,0,PLATINUM,388
241,15812009,1,GOLD,248
242,15651001,1,GOLD,763
243,15813844,0,DIAMOND,619
244,15596175,1,SILVER,815
245,15576269,1,DIAMOND,566
246,15797219,1,GOLD,774
247,15685500,1,PLATINUM,695
248,15599792,1,PLATINUM,902
249,15657566,1,GOLD,532
250,15772423,1,DIAMOND,718
251,15628112,0,PLATINUM,895
252,15753754,1,DIAMOND,749
253,15793726,0,DIAMOND,333
254,15694717,1,DIAMOND,866
255,15665834,0,SILVER,671
256,15765297,0,GOLD,670
257,15636684,1,GOLD,768
258,15592979,0,SILVER,565
259,15750803,1,SILVER,483
260,15607178,1,GOLD,926
261,15713853,1,DIAMOND,932
262,15673481,1,DIAMOND,901
263,15686776,1,GOLD,299
264,15673693,0,PLATINUM,899
265,15700696,1,PLATINUM,467
266,15813163,1,PLATINUM,717
267,15653857,1,DIAMOND,549
268,15777076,1,GOLD,545
269,15717398,0,GOLD,716
270,15799217,1,SILVER,650
271,15787071,0,PLATINUM,693
272,15619955,1,PLATINUM,759
273,15796505,1,GOLD,946
274,15725166,1,GOLD,402
275,15800116,0,PLATINUM,465
276,15758685,1,GOLD,799
277,15694456,1,SILVER,600
278,15767339,1,PLATINUM,306
279,15683562,0,SILVER,635
280,15782210,1,PLATINUM,747
281,15668893,1,PLATINUM,424
282,15669169,1,DIAMOND,913
283,15643024,1,GOLD,751
284,15699389,1,DIAMOND,899
285,15708608,0,PLATINUM,219
286,15626144,1,SILVER,587
287,15573112,1,SILVER,861
288,15790678,1,PLATINUM,278
289,15727556,1,PLATINUM,526
290,15697307,1,PLATINUM,632
291,15652266,0,SILVER,301
292,15607098,1,DIAMOND,806
293,15655774,1,PLATINUM,250
294,15590241,0,PLATINUM,563
295,15785819,1,DIAMOND,861
296,15723654,1,PLATINUM,790
297,15774510,1,PLATINUM,669
298,15684173,1,SILVER,336
299,15650068,1,GOLD,517
300,15811490,1,PLATINUM,499
301,15803976,1,SILVER,673
302,15682541,0,SILVER,268
303,15695699,1,PLATINUM,809
304,15624188,1,GOLD,460
305,15812191,0,SILVER,221
306,15636673,1,SILVER,730
307,15594898,1,DIAMOND,777
308,15660211,1,SILVER,837
309,15773972,1,DIAMOND,958
310,15746726,1,PLATINUM,809
311,15712287,1,GOLD,662
312,15702919,1,GOLD,484
313,15674398,0,GOLD,737
314,15797960,1,SILVER,486
315,15631868,1,SILVER,252
316,15581539,0,SILVER,275
317,15662736,1,DIAMOND,245
318,15666252,1,PLATINUM,361
319,15677512,1,DIAMOND,483
320,15626114,1,GOLD,352
321,15810834,1,PLATINUM,337
322,15678910,1,SILVER,597
323,15694408,1,SILVER,381
324,15585215,0,PLATINUM,668
325,15682757,1,DIAMOND,245
326,15736601,1,PLATINUM,495
327,15601848,1,DIAMOND,378
328,15736008,1,SILVER,568
329,15669064,1,PLATINUM,731
330,15624528,1,GOLD,837
331,15598493,0,GOLD,829
332,15601274,1,DIAMOND,230
333,15702669,0,DIAMOND,919
334,15728669,1,PLATINUM,641
335,15742668,1,DIAMOND,457
336,15697441,1,GOLD,583
337,15740476,0,PLATINUM,849
338,15648064,1,DIAMOND,720
339,15636624,1,SILVER,317
340,15807923,1,DIAMOND,465
341,15745844,0,GOLD,269
342,15786170,0,SILVER,391
343,15681081,1,PLATINUM,373
344,15684484,0,PLATINUM,251
345,15785869,1,PLATINUM,237
346,15763859,1,SILVER,645
347,15658935,1,SILVER,624
348,15747358,1,PLATINUM,838
349,15735203,1,GOLD,224
350,15576256,1,DIAMOND,343
351,15659420,1,DIAMOND,683
352,15593365,1,GOLD,929
353,15777352,1,PLATINUM,234
354,15812007,1,DIAMOND,723
355,15625461,1,PLATINUM,482
356,15739438,1,DIAMOND,231
357,15611759,1,GOLD,244
358,15661629,1,GOLD,973
359,15633950,1,SILVER,463
360,15592386,0,DIAMOND,253
361,15803716,0,SILVER,241
362,15696674,0,PLATINUM,537
363,15706365,1,DIAMOND,332
364,15745088,1,PLATINUM,390
365,15676715,1,PLATINUM,763
366,15613085,1,GOLD,240
367,15633537,1,PLATINUM,978
368,15594720,1,DIAMOND,366
369,15684042,0,DIAMOND,356
370,15583303,1,SILVER,907
371,15611579,1,SILVER,687
372,15774696,0,PLATINUM,703
373,15694506,1,DIAMOND,388
374,15688074,1,DIAMOND,579
375,15759537,1,GOLD,793
376,15758449,0,GOLD,828
377,15583456,1,GOLD,291
378,15667871,1,GOLD,951
379,15677371,1,DIAMOND,952
380,15629677,0,GOLD,616
381,15713578,1,SILVER,706
382,15591509,1,DIAMOND,423
383,15568240,0,GOLD,552
384,15622993,1,DIAMOND,665
385,15689294,1,PLATINUM,351
386,15720910,1,DIAMOND,906
387,15721181,1,DIAMOND,406
388,15776433,1,GOLD,594
389,15748936,0,PLATINUM,815
390,15717225,1,PLATINUM,458
391,15685226,1,SILVER,886
392,15785611,1,SILVER,833
393,15573456,1,GOLD,932
394,15684548,0,GOLD,632
395,15620505,1,DIAMOND,431
396,15807432,0,PLATINUM,739
397,15584766,1,SILVER,362
398,15612187,1,SILVER,309
399,15762218,0,GOLD,513
400,15646372,1,DIAMOND,302
401,15690452,1,DIAMOND,437
402,15747795,1,SILVER,337
403,15781589,0,SILVER,629
404,15732674,0,GOLD,858
405,15642291,1,SILVER,543
406,15692761,1,DIAMOND,939
407,15578045,0,GOLD,797
408,15745354,1,SILVER,629
409,15701376,1,SILVER,743
410,15691625,1,DIAMOND,767
411,15566594,0,SILVER,246
412,15760431,1,PLATINUM,480
413,15686302,1,GOLD,924
414,15801559,1,GOLD,430
415,15810432,1,DIAMOND,708
416,15809616,0,PLATINUM,701
417,15720559,0,DIAMOND,982
418,15695632,1,DIAMOND,827
419,15659843,0,DIAMOND,597
420,15615624,0,DIAMOND,468
421,15810418,1,DIAMOND,523
422,15716186,1,SILVER,650
423,15674551,1,GOLD,567
424,15622834,1,DIAMOND,749
425,15566111,1,PLATINUM,390
426,15784597,1,GOLD,922
427,15652883,1,GOLD,560
428,15806964,1,DIAMOND,994
429,15576313,1,PLATINUM,530
430,15806467,0,SILVER,818
431,15597602,1,PLATINUM,367
432,15743040,0,DIAMOND,393
433,15705521,1,DIAMOND,860
434,15595039,1,GOLD,958
435,15799384,0,PLATINUM,576
436,15581197,0,SILVER,887
437,15693737,1,DIAMOND,396
438,15624623,0,GOLD,565
439,15783501,1,SILVER,874
440,15690134,1,SILVER,665
441,15782735,0,SILVER,680
442,15611088,1,DIAMOND,319
443,15672145,1,SILVER,351
444,15732628,1,DIAMOND,781
445,15787470,0,DIAMOND,918
446,15803406,0,GOLD,340
447,15730460,0,GOLD,625
448,15644572,1,DIAMOND,923
449,15694860,0,PLATINUM,543
450,15658169,1,GOLD,859
451,15794396,1,GOLD,794
452,15785798,0,GOLD,241
453,15710825,0,GOLD,702
454,15668444,1,PLATINUM,816
455,15726631,0,SILVER,404
456,15733797,1,GOLD,299
457,15747960,1,SILVER,855
458,15634632,1,DIAMOND,886
459,15707362,0,GOLD,774
460,15662976,1,DIAMOND,699
461,15732778,1,GOLD,977
462,15718443,1,SILVER,426
463,15670039,1,DIAMOND,595
464,15773792,1,DIAMOND,368
465,15613786,1,SILVER,261
466,15726032,1,GOLD,614
467,15663252,1,DIAMOND,765
468,15593782,1,GOLD,961
469,15633283,1,GOLD,345
470,15749167,1,GOLD,330
471,15759298,1,PLATINUM,863
472,15683625,1,DIAMOND,371
473,15635367,1,DIAMOND,282
474,15681705,1,SILVER,937
475,15603156,1,GOLD,722
476,15591986,0,SILVER,956
477,15798888,1,SILVER,496
478,15809722,1,DIAMOND,927
479,15677538,1,SILVER,550
480,15797736,1,GOLD,420
481,15695585,0,DIAMOND,760
482,15744398,1,PLATINUM,225
483,15750658,0,SILVER,860
484,15578186,1,GOLD,882
485,15676519,1,DIAMOND,683
486,15637954,1,GOLD,500
487,15758639,1,PLATINUM,516
488,15613772,1,PLATINUM,328
489,15731744,0,DIAMOND,751
490,15807709,1,GOLD,652
491,15714689,1,PLATINUM,850
492,15699005,1,DIAMOND,678
493,15624170,0,GOLD,860
494,15725679,0,SILVER,510
495,15585865,0,PLATINUM,954
496,15804256,1,DIAMOND,547
497,15662403,1,SILVER,238
498,15733616,1,SILVER,314
499,15591995,1,SILVER,595
500,15677020,0,DIAMOND,257
501,15727688,1,DIAMOND,850
502,15715941,1,PLATINUM,552
503,15714485,1,GOLD,540
504,15730059,1,SILVER,343
505,15715527,0,PLATINUM,331
506,15576623,1,PLATINUM,568
507,15805565,1,DIAMOND,813
508,15677307,1,PLATINUM,530
509,15773890,1,DIAMOND,279
510,15598883,1,GOLD,516
511,15568506,1,GOLD,685
512,15761043,1,SILVER,435
513,15782236,0,PLATINUM,898
514,15593601,1,DIAMOND,693
515,15682048,1,PLATINUM,683
516,15746902,1,SILVER,690
517,15752081,0,PLATINUM,547
518,15781307,1,GOLD,466
519,15775912,0,GOLD,342
520,15745417,0,GOLD,230
521,15671256,1,PLATINUM,757
522,15653547,1,SILVER,657
523,15595766,1,PLATINUM,453
524,15742358,1,DIAMOND,694
525,15763274,0,PLATINUM,727
526,15786063,1,DIAMOND,304
527,15600258,1,SILVER,633
528,15573318,1,SILVER,989
529,15653849,1,GOLD,352
530,15694272,1,DIAMOND,936
531,15736112,1,SILVER,689
532,15749851,0,DIAMOND,267
533,15663478,1,GOLD,613
534,15592300,1,GOLD,480
535,15567832,1,GOLD,951
536,15776780,1,DIAMOND,585
537,15592846,1,PLATINUM,452
538,15739803,1,SILVER,358
539,15794142,0,GOLD,771
540,15762729,1,PLATINUM,238
541,15667896,1,DIAMOND,633
542,15626578,1,PLATINUM,344
543,15776223,1,SILVER,244
544,15705953,1,PLATINUM,405
545,15802593,0,SILVER,408
546,15615457,1,DIAMOND,939
547,15708916,1,DIAMOND,701
548,15720187,1,SILVER,503
549,15595440,1,GOLD,881
550,15600651,1,GOLD,758
551,15750141,1,SILVER,751
552,15657284,1,GOLD,363
553,15763063,1,DIAMOND,560
554,15709324,1,SILVER,969
555,15711309,1,SILVER,470
556,15775318,0,SILVER,759
557,15705515,1,SILVER,403
558,15634844,1,SILVER,980
559,15717046,1,GOLD,245
560,15571816,1,DIAMOND,283
561,15670080,0,DIAMOND,453
562,15800440,0,DIAMOND,683
563,15665678,1,GOLD,863
564,15665956,1,DIAMOND,264
565,15788126,1,SILVER,946
566,15811773,1,GOLD,354
567,15651674,0,SILVER,281
568,15689614,1,PLATINUM,938
569,15795564,1,PLATINUM,815
570,15706647,1,GOLD,753
571,15728505,1,GOLD,650
572,15730076,1,SILVER,629
573,15622003,1,SILVER,742
574,15607312,1,GOLD,314
575,15644753,1,GOLD,844
576,15653620,1,SILVER,776
577,15761986,1,DIAMOND,913
578,15633922,0,GOLD,786
579,15734674,1,SILVER,939
580,15658032,1,DIAMOND,812
581,15692671,1,DIAMOND,689
582,15737741,0,PLATINUM,647
583,15576352,0,PLATINUM,839
584,15753719,1,PLATINUM,807
585,15803689,0,SILVER,847
586,15718057,0,DIAMOND,550
587,15722010,1,PLATINUM,777
588,15680998,1,SILVER,865
589,15614782,1,PLATINUM,425
590,15591047,0,PLATINUM,934
591,15788291,1,SILVER,656
592,15604044,1,DIAMOND,903
593,15679587,1,SILVER,427
594,15775153,0,GOLD,708
595,15603925,0,PLATINUM,625
596,15680970,1,DIAMOND,645
597,15697183,1,SILVER,808
598,15567446,1,PLATINUM,525
599,15637476,0,SILVER,746
600,15714939,0,DIAMOND,774
601,15683503,0,SILVER,343
602,15645569,1,PLATINUM,669
603,15782569,0,GOLD,258
604,15592387,1,DIAMOND,817
605,15609286,1,DIAMOND,541
606,15814035,1,GOLD,418
607,15661249,0,PLATINUM,513
608,15629117,1,GOLD,706
609,15607170,1,SILVER,915
610,15586585,1,DIAMOND,751
611,15686611,0,DIAMOND,753
612,15603203,1,PLATINUM,789
613,15619857,1,SILVER,380
614,15805062,1,PLATINUM,955
615,15660271,1,PLATINUM,866
616,15745295,1,SILVER,274
617,15719352,1,DIAMOND,380
618,15766575,1,GOLD,455
619,15594594,1,DIAMOND,451
620,15646161,1,SILVER,603
621,15682585,1,DIAMOND,660
622,15603134,0,PLATINUM,806
623,15636444,1,PLATINUM,577
624,15773456,0,SILVER,824
625,15745307,0,GOLD,238
626,15604119,0,PLATINUM,445
627,15626900,1,GOLD,589
628,15605447,1,SILVER,989
629,15589030,1,GOLD,908
630,15692463,1,SILVER,395
631,15712403,1,SILVER,923
632,15811762,1,DIAMOND,878
633,15718673,1,PLATINUM,497
634,15724282,1,SILVER,778
635,15738181,0,DIAMOND,895
636,15633648,1,SILVER,509
637,15603323,0,PLATINUM,485
638,15583725,0,SILVER,229
639,15588350,0,SILVER,982
640,15798398,0,SILVER,834
641,15784844,1,PLATINUM,265
642,15580684,1,PLATINUM,819
643,15809663,1,PLATINUM,992
644,15640078,1,DIAMOND,816
645,15698786,1,SILVER,444
646,15569807,1,SILVER,611
647,15730830,1,SILVER,974
648,15805112,1,DIAMOND,325
649,15633064,1,SILVER,660
650,15703119,1,PLATINUM,691
651,15730447,1,PLATINUM,921
652,15813850,1,GOLD,678
653,15711889,1,DIAMOND,335
654,15664610,1,DIAMOND,661
655,15751710,1,PLATINUM,249
656,15692926,1,DIAMOND,793
657,15813741,0,PLATINUM,737
658,15698474,1,DIAMOND,929
659,15568595,1,GOLD,562
660,15603065,1,DIAMOND,633
661,15592937,1,SILVER,532
662,15699637,1,SILVER,988
663,15667215,1,DIAMOND,888
664,15788659,1,PLATINUM,499
665,15763218,0,PLATINUM,671
666,15645772,1,DIAMOND,873
667,15725511,0,PLATINUM,665
668,15575024,1,DIAMOND,927
669,15640825,1,SILVER,520
670,15662397,1,PLATINUM,380
671,15576368,0,PLATINUM,300
672,15674991,0,GOLD,300
673,15721024,0,SILVER,616
674,15745621,1,PLATINUM,869
675,15642394,1,PLATINUM,395
676,15754605,1,SILVER,336
677,15607040,1,PLATINUM,910
678,15715142,0,SILVER,827
679,15810978,1,DIAMOND,844
680,15668886,1,SILVER,866
681,15780804,0,GOLD,408
682,15613880,0,GOLD,515
683,15775238,0,SILVER,807
684,15786905,0,DIAMOND,678
685,15747867,0,SILVER,304
686,15600337,0,PLATINUM,426
687,15801277,1,PLATINUM,641
688,15579334,1,DIAMOND,592
689,15802741,1,PLATINUM,833
690,15720649,1,SILVER,224
691,15589493,1,GOLD,475
692,15688251,1,PLATINUM,307
693,15665238,0,PLATINUM,766
694,15740900,1,SILVER,261
695,15681068,1,DIAMOND,267
696,15748625,1,SILVER,564
697,15727299,1,PLATINUM,561
698,15620204,1,GOLD,677
699,15669516,1,DIAMOND,718
700,15736534,1,SILVER,288
701,15803457,1,SILVER,872
702,15659098,0,PLATINUM,463
703,15603436,0,DIAMOND,650
704,15566292,0,DIAMOND,980
705,15808621,1,PLATINUM,374
706,15580148,1,GOLD,523
707,15776231,1,SILVER,279
708,15773809,1,GOLD,402
709,15649423,0,GOLD,717
710,15734886,1,PLATINUM,410
711,15722548,0,GOLD,274
712,15650288,1,SILVER,989
713,15629448,1,DIAMOND,666
714,15716164,1,DIAMOND,518
715,15807609,1,GOLD,653
716,15578977,1,GOLD,723
717,15677369,0,DIAMOND,606
718,15804072,0,GOLD,282
719,15696859,0,PLATINUM,792
720,15653780,1,SILVER,777
721,15721658,1,PLATINUM,742
722,15578761,1,PLATINUM,326
723,15736879,0,GOLD,250
724,15571973,1,SILVER,844
725,15626742,1,SILVER,522
726,15672692,1,DIAMOND,396
727,15673570,0,DIAMOND,537
728,15767432,1,PLATINUM,865
729,15654238,1,SILVER,748
730,15612525,0,GOLD,251
731,15812750,1,SILVER,602
732,15790757,0,DIAMOND,865
733,15723873,0,SILVER,225
734,15744607,1,DIAMOND,912
735,15612966,0,GOLD,907
736,15784209,1,SILVER,592
737,15794278,1,GOLD,459
738,15766741,0,SILVER,969
739,15661036,1,GOLD,393
740,15705639,1,GOLD,588
741,15637414,0,DIAMOND,517
742,15716835,1,DIAMOND,494
743,15696231,1,PLATINUM,274
744,15641675,0,PLATINUM,561
745,15670755,1,GOLD,256
746,15640059,1,DIAMOND,664
747,15787619,0,DIAMOND,821
748,15587535,1,GOLD,238
749,15813034,1,DIAMOND,757
750,15698839,1,SILVER,287
751,15790314,0,GOLD,547
752,15634245,1,DIAMOND,810
753,15677305,1,PLATINUM,960
754,15661526,1,GOLD,623
755,15685997,1,DIAMOND,917
756,15660101,1,GOLD,963
757,15637979,1,GOLD,705
758,15815364,1,PLATINUM,457
759,15647099,1,GOLD,519
760,15625944,1,DIAMOND,773
761,15583212,1,GOLD,568
762,15582741,1,DIAMOND,854
763,15637876,0,PLATINUM,944
764,15622750,1,GOLD,254
765,15672056,1,GOLD,350
766,15812351,1,SILVER,314
767,15810864,0,GOLD,603
768,15677921,0,PLATINUM,274
769,15724296,0,GOLD,935
770,15685329,0,PLATINUM,908
771,15584091,0,GOLD,914
772,15640442,0,GOLD,585
773,15639314,0,GOLD,539
774,15685320,0,DIAMOND,277
775,15789158,1,PLATINUM,752
776,15752137,1,PLATINUM,219
777,15712551,1,GOLD,475
778,15628936,0,SILVER,735
779,15797227,1,DIAMOND,497
780,15769974,0,SILVER,369
781,15737051,1,PLATINUM,740
782,15585595,0,GOLD,461
783,15654060,0,SILVER,540
784,15745196,0,SILVER,329
785,15571221,1,PLATINUM,844
786,15660155,0,SILVER,328
787,15605284,1,PLATINUM,381
788,15694366,0,GOLD,809
789,15600739,1,SILVER,814
790,15653253,1,SILVER,970
791,15763431,1,GOLD,925
792,15643696,1,PLATINUM,437
793,15707473,1,GOLD,446
794,15769504,1,GOLD,514
795,15776807,1,SILVER,711
796,15686870,0,DIAMOND,954
797,15668747,0,PLATINUM,511
798,15766908,1,GOLD,804
799,15570134,1,SILVER,511
800,15567367,0,SILVER,336
801,15747542,1,PLATINUM,435
802,15762238,0,SILVER,863
803,15681554,1,DIAMOND,906
804,15712825,0,DIAMOND,390
805,15640280,0,PLATINUM,404
806,15756026,0,SILVER,258
807,15613319,0,GOLD,987
808,15798906,1,DIAMOND,348
809,15708917,1,SILVER,686
810,15778463,1,GOLD,517
811,15699430,1,DIAMOND,341
812,15649992,0,GOLD,854
813,15578980,1,PLATINUM,692
814,15775306,1,SILVER,237
815,15641655,0,DIAMOND,417
816,15619708,1,SILVER,395
817,15734565,1,GOLD,921
818,15806438,0,DIAMOND,362
819,15591969,1,GOLD,709
820,15747807,1,GOLD,506
821,15596939,1,DIAMOND,367
822,15716155,0,DIAMOND,242
823,15765311,1,GOLD,323
824,15757811,0,PLATINUM,719
825,15603830,1,GOLD,767
826,15660602,1,GOLD,406
827,15660535,1,DIAMOND,735
828,15666633,1,PLATINUM,408
829,15596914,1,SILVER,888
830,15639788,1,PLATINUM,596
831,15695846,1,SILVER,372
832,15726234,0,SILVER,256
833,15797964,1,GOLD,599
834,15625881,1,GOLD,558
835,15780628,0,DIAMOND,565
836,15575883,1,PLATINUM,796
837,15585036,1,DIAMOND,245
838,15589488,1,DIAMOND,799
839,15585888,0,PLATINUM,421
840,15727915,0,DIAMOND,691
841,15707567,0,DIAMOND,738
842,15737792,0,PLATINUM,417
843,15599433,0,PLATINUM,815
844,15672012,1,DIAMOND,497
845,15806983,1,PLATINUM,351
846,15592222,0,GOLD,726
847,15608968,0,GOLD,910
848,15586959,1,GOLD,780
849,15646558,1,PLATINUM,247
850,15725811,0,DIAMOND,723
851,15572265,1,PLATINUM,689
852,15794048,0,GOLD,736
853,15677610,1,GOLD,240
854,15745012,1,DIAMOND,848
855,15601589,0,SILVER,632
856,15686436,1,DIAMOND,480
857,15693864,1,GOLD,980
858,15760550,0,PLATINUM,437
859,15686137,1,DIAMOND,454
860,15809087,1,PLATINUM,839
861,15807663,1,DIAMOND,680
862,15809100,1,GOLD,374
863,15794916,1,DIAMOND,240
864,15614215,0,DIAMOND,477
865,15805449,0,SILVER,477
866,15686983,0,GOLD,365
867,15808017,1,GOLD,331
868,15756804,1,PLATINUM,654
869,15646810,1,GOLD,652
870,15710424,1,PLATINUM,758
871,15799422,1,DIAMOND,514
